time,V(n001),V(n003)
0.00E+00,0.00E+00,0.00E+00
2.69E-07,2.54E-02,-1.11E-07
5.39E-07,5.08E-02,-4.95E-08
8.08E-07,7.61E-02,1.86E-07
1.08E-06,1.01E-01,5.94E-07
1.35E-06,1.27E-01,1.18E-06
1.62E-06,1.52E-01,1.93E-06
1.89E-06,1.77E-01,2.86E-06
2.18E-06,2.04E-01,4.39E-06
2.65E-06,2.48E-01,7.31E-06
3.13E-06,2.91E-01,1.22E-05
3.60E-06,3.33E-01,1.92E-05
4.08E-06,3.75E-01,2.81E-05
4.55E-06,4.16E-01,3.91E-05
5.02E-06,4.56E-01,5.21E-05
5.50E-06,4.95E-01,6.71E-05
6.11E-06,5.45E-01,9.04E-05
6.73E-06,5.93E-01,1.20E-04
7.34E-06,6.38E-01,1.54E-04
7.95E-06,6.81E-01,1.95E-04
8.57E-06,7.22E-01,2.41E-04
9.18E-06,7.61E-01,2.93E-04
9.80E-06,7.98E-01,3.51E-04
1.06E-05,8.41E-01,4.36E-04
1.14E-05,8.79E-01,5.33E-04
1.22E-05,9.12E-01,6.42E-04
1.30E-05,9.40E-01,7.63E-04
1.38E-05,9.63E-01,8.95E-04
1.46E-05,9.80E-01,1.04E-03
1.54E-05,9.92E-01,1.20E-03
1.64E-05,9.99E-01,1.42E-03
1.75E-05,9.97E-01,1.66E-03
1.85E-05,9.85E-01,1.92E-03
1.95E-05,9.64E-01,2.20E-03
2.06E-05,9.33E-01,2.49E-03
2.16E-05,8.93E-01,2.80E-03
2.27E-05,8.43E-01,3.12E-03
2.36E-05,7.95E-01,3.40E-03
2.44E-05,7.42E-01,3.68E-03
2.53E-05,6.85E-01,3.97E-03
2.62E-05,6.23E-01,4.25E-03
2.71E-05,5.57E-01,4.54E-03
2.80E-05,4.86E-01,4.83E-03
2.88E-05,4.11E-01,5.13E-03
2.94E-05,3.66E-01,5.30E-03
2.99E-05,3.20E-01,5.47E-03
3.04E-05,2.74E-01,5.63E-03
3.09E-05,2.27E-01,5.80E-03
3.14E-05,1.80E-01,5.96E-03
3.19E-05,1.32E-01,6.12E-03
3.25E-05,8.29E-02,6.28E-03
3.26E-05,6.85E-02,6.33E-03
3.28E-05,5.41E-02,6.37E-03
3.29E-05,3.96E-02,6.42E-03
3.31E-05,2.52E-02,6.46E-03
3.32E-05,1.07E-02,6.51E-03
3.34E-05,-3.73E-03,6.55E-03
3.35E-05,-1.82E-02,6.60E-03
3.39E-05,-5.64E-02,6.71E-03
3.43E-05,-9.45E-02,6.83E-03
3.47E-05,-1.32E-01,6.94E-03
3.51E-05,-1.70E-01,7.05E-03
3.55E-05,-2.07E-01,7.15E-03
3.60E-05,-2.44E-01,7.25E-03
3.64E-05,-2.81E-01,7.35E-03
3.71E-05,-3.51E-01,7.54E-03
3.79E-05,-4.17E-01,7.71E-03
3.87E-05,-4.82E-01,7.86E-03
3.94E-05,-5.43E-01,8.00E-03
4.02E-05,-6.02E-01,8.13E-03
4.10E-05,-6.58E-01,8.25E-03
4.17E-05,-7.11E-01,8.35E-03
4.23E-05,-7.48E-01,8.42E-03
4.29E-05,-7.83E-01,8.47E-03
4.34E-05,-8.15E-01,8.52E-03
4.40E-05,-8.45E-01,8.56E-03
4.46E-05,-8.73E-01,8.59E-03
4.52E-05,-8.98E-01,8.62E-03
4.57E-05,-9.20E-01,8.63E-03
4.61E-05,-9.34E-01,8.63E-03
4.65E-05,-9.46E-01,8.63E-03
4.69E-05,-9.57E-01,8.63E-03
4.72E-05,-9.66E-01,8.63E-03
4.76E-05,-9.75E-01,8.61E-03
4.80E-05,-9.82E-01,8.60E-03
4.84E-05,-9.88E-01,8.58E-03
4.91E-05,-9.96E-01,8.54E-03
4.98E-05,-1.00E+00,8.48E-03
5.06E-05,-9.98E-01,8.41E-03
5.13E-05,-9.92E-01,8.33E-03
5.21E-05,-9.81E-01,8.23E-03
5.28E-05,-9.65E-01,8.12E-03
5.35E-05,-9.45E-01,8.00E-03
5.46E-05,-9.08E-01,7.82E-03
5.56E-05,-8.63E-01,7.62E-03
5.66E-05,-8.12E-01,7.41E-03
5.76E-05,-7.54E-01,7.19E-03
5.86E-05,-6.88E-01,6.95E-03
5.97E-05,-6.15E-01,6.71E-03
6.07E-05,-5.35E-01,6.45E-03
6.13E-05,-4.84E-01,6.29E-03
6.19E-05,-4.31E-01,6.13E-03
6.26E-05,-3.77E-01,5.97E-03
6.32E-05,-3.22E-01,5.81E-03
6.38E-05,-2.66E-01,5.65E-03
6.44E-05,-2.09E-01,5.50E-03
6.51E-05,-1.50E-01,5.34E-03
6.53E-05,-1.29E-01,5.29E-03
6.55E-05,-1.08E-01,5.23E-03
6.57E-05,-8.73E-02,5.18E-03
6.60E-05,-6.63E-02,5.13E-03
6.62E-05,-4.54E-02,5.07E-03
6.64E-05,-2.43E-02,5.02E-03
6.66E-05,-3.28E-03,4.97E-03
6.69E-05,1.91E-02,4.91E-03
6.71E-05,4.14E-02,4.86E-03
6.73E-05,6.37E-02,4.81E-03
6.76E-05,8.60E-02,4.75E-03
6.78E-05,1.08E-01,4.70E-03
6.81E-05,1.30E-01,4.65E-03
6.83E-05,1.53E-01,4.60E-03
6.89E-05,2.13E-01,4.47E-03
6.96E-05,2.71E-01,4.34E-03
7.02E-05,3.29E-01,4.22E-03
7.09E-05,3.85E-01,4.11E-03
7.15E-05,4.39E-01,4.00E-03
7.21E-05,4.93E-01,3.91E-03
7.28E-05,5.45E-01,3.81E-03
7.34E-05,5.95E-01,3.73E-03
7.41E-05,6.43E-01,3.66E-03
7.47E-05,6.88E-01,3.60E-03
7.54E-05,7.30E-01,3.55E-03
7.60E-05,7.70E-01,3.50E-03
7.66E-05,8.07E-01,3.47E-03
7.73E-05,8.41E-01,3.44E-03
7.77E-05,8.63E-01,3.43E-03
7.81E-05,8.83E-01,3.43E-03
7.86E-05,9.01E-01,3.43E-03
7.90E-05,9.18E-01,3.43E-03
7.94E-05,9.33E-01,3.44E-03
7.99E-05,9.47E-01,3.45E-03
8.03E-05,9.60E-01,3.47E-03
8.10E-05,9.76E-01,3.51E-03
8.17E-05,9.88E-01,3.56E-03
8.24E-05,9.96E-01,3.62E-03
8.31E-05,1.00E+00,3.69E-03
8.38E-05,9.99E-01,3.77E-03
8.45E-05,9.94E-01,3.86E-03
8.52E-05,9.85E-01,3.97E-03
8.63E-05,9.60E-01,4.16E-03
8.74E-05,9.25E-01,4.37E-03
8.85E-05,8.82E-01,4.59E-03
8.97E-05,8.28E-01,4.84E-03
9.08E-05,7.66E-01,5.10E-03
9.19E-05,6.94E-01,5.37E-03
9.30E-05,6.13E-01,5.67E-03
9.37E-05,5.60E-01,5.85E-03
9.44E-05,5.06E-01,6.03E-03
9.50E-05,4.50E-01,6.21E-03
9.57E-05,3.92E-01,6.39E-03
9.64E-05,3.32E-01,6.56E-03
9.71E-05,2.70E-01,6.74E-03
9.78E-05,2.07E-01,6.92E-03
9.83E-05,1.62E-01,7.05E-03
9.85E-05,1.41E-01,7.10E-03
9.87E-05,1.20E-01,7.16E-03
9.89E-05,9.95E-02,7.22E-03
9.92E-05,7.86E-02,7.27E-03
9.94E-05,5.76E-02,7.33E-03
9.96E-05,3.66E-02,7.38E-03
9.98E-05,1.55E-02,7.44E-03
9.99E-05,6.34E-03,7.46E-03
1.00E-04,3.67E-16,7.48E-03
